span	freq	ascii_variant	contexts
Very Fruitful	2	Very Fruitful	mas (from the Divinity's Retinue to the Very Fruitful gods) according to proficiency in this. | ...of the Very Fruitful gods...
Views	2	Views	not present." Abandoning Possessions & Views "Monks, you would do well to possess th | Grounds for Views 15 .
Vigilance	2	Vigilance	blamelessness and abiding in comfort.' Vigilance "As soon, brahman, as a monk is moderat | blamelessness and abiding in comfort.' Vigilance "When, Aggivessana, the ariyan disciple
Vitality	2	Vitality	mains standing in dependence on what?" "Vitality remains standing in dependence on heat. | d Sariputta, we understood you to say, 'Vitality remains standing in dependence on heat.
Vsm	2	Vsm	rgence" ( vutthaanagaamini vipassanaa ; Vsm, p. | enterers ( cuula- or baala-sotaapanna ; Vsm 703).
Wheel No	2	Wheel No	See Discourse on the Snake Simile (Wheel No. | atta and Nibbana, by Nyanaponika Thera (Wheel No.
When Gotama	2	When Gotama	& disgruntled at those words of yours.' When Gotama the contemplative is asked this two-pro | Then the thought occurred to Kapadika, "When Gotama the contemplative meets my gaze with hi
Whereas	2	Whereas	"Whereas formerly he foolishly had taken on ment | "Whereas formerly he foolishly had greed — as we
White Water-lily Month	2	White Water-lily Month	ain right there at Savatthi through the White Water-lily Month, the fourth month of the rains." So the | e fifteenth, the full-moon night of the White Water-lily Month, the fourth month of the rains — the Bl
Wield Power	2	Wield Power	s of the Four Kings up to the gods that Wield Power over others' Creations). | ...of the gods that Wield Power over others' Creations...
Wielding Power	2	Wielding Power	the devas Wielding Power over the Creations of Others, it is pos | er death — would appear among the devas Wielding Power over the Creations of Others.
With Death	2	With Death	For no bargain can we strike With Death who has his mighty hosts. | For no bargain can we strike With Death who has his mighty hosts.
Abandoning Possessions	1	Abandoning Possessions	n over what is internally not present." Abandoning Possessions & Views "Monks, you would do well to po
Abhassara	1	Abhassara	There is, brahma, the body named Abhassara (Radiant/Luminous) from which you fell
Abhibhu	1	Abhibhu	Sky-fruit/Great Fruit), {the body named Abhibhu (Conqueror)} [5] which you don't know,
Abhidhamma	1	Abhidhamma	ga (in the Vibhanga, second book of the Abhidhamma: see The Book of Analysis, P.T.S.
Acchariya-abbhutadhamma Sutta	1	Acchariya-abbhutadhamma Sutta	in the Mahapadana Sutta (Digha 14), the Acchariya-abbhutadhamma Sutta (Majjh.
Accutagamabyamaka	1	Accutagamabyamaka	Then Accuta and Accutagamabyamaka.
Addressing Ven	1	Addressing Ven	[6] Addressing Ven.
Adhikakka	1	Adhikakka	dvaja in these stanzas: [19] Bahuka and Adhikakka , [20] Gaya and Sundarika , Payaga and
Agitation	1	Agitation	n over what is externally not present." Agitation & Non-Agitation "But, lord, might there
Ajatasattu	1	Ajatasattu	tta, for instance, who persuaded prince Ajatasattu to murder his father (who was a stream-
Ajivakas	1	Ajivakas	rs the gods of Refulgent Glory, and the Ajivakas the non-percipient state, which they po
All That Have Been	1	All That Have Been	, Chief, Appointer and Ruler, Father of All That Have Been and Shall Be.
All-Powerful	1	All-Powerful	ueror, the Unconquered, the All-Seeing, All-Powerful, the Sovereign Lord, the Maker, Creator
All-Seeing	1	All-Seeing	ma, the Conqueror, the Unconquered, the All-Seeing, All-Powerful, the Sovereign Lord, the
All-vanquishing	1	All-vanquishing	eplied to Upaka the Ajivaka in verses: 'All-vanquishing, all-knowing am I, with regard to all t
Alone	1	Alone	: Chilled by night and scorched by day, Alone in awe-inspiring groves, Naked, no fire
Also	1	Also	ture, having been who, who will I be?' "Also as regards the present, uncertainty ari
Also SN	1	Also SN	"examination of purpose (or meaning)." Also SN 25.1 confirms our rendering: Yassa khob
Alternative	1	Alternative	to, and the propagation of, his ideas." Alternative renderings: You may well place reliance
Although	1	Although	and put there by the wardens of hell." Although such a fate may sound excessively sever
An Auspicious Day	1	An Auspicious Day	Pali idiom into its English equivalent: An Auspicious Day.
An Exposition	1	An Exposition	s sutta may be found in Ideal Solitude: An Exposition on the Bhaddekaratta Sutta by the trans
An Introduction	1	An Introduction	lay in the Canon, see The Atthakavagga: An Introduction .
Anaathapi.n.dika's	1	Anaathapi.n.dika's	living at Saavatthi in the Jeta Grove, Anaathapi.n.dika's monastery.
Anaathapindika's	1	Anaathapindika's	ived at Saavatthii, in Jeta's Grove, in Anaathapindika's monastery.
Analysis	1	Analysis	book of the Abhidhamma: see The Book of Analysis, P.T.S.
Ananda Semage	1	Ananda Semage	by Ananda Semage, Colombo 11
Ananda Thera	1	Ananda Thera	ph may have been clear to the venerable Ananda Thera, or he may have asked for an explanatio
Anasava	1	Anasava	abhanga, Lomahamsa, Uccangamaya, Asita, Anasava.
Anathapindika's Pleasance	1	Anathapindika's Pleasance	s staying at Savatthi, in Jeta's Grove, Anathapindika's Pleasance.
Anatta	1	Anatta	8, and Anatta and Nibbana, by Nyanaponika Thera (Whee
Anga	1	Anga	"Kala, Upakala, Vijita and Jita, Anga and Panga and Gutijjita.
Angirasa	1	Angirasa	a , Vamadeva , Vessamitta , Yamataggi , Angirasa , Bharadvaja , Vasettha , Kassapa & Bha
Anguttara Nikaaya	1	Anguttara Nikaaya	This section appears also in the Anguttara Nikaaya, The Fives, No.
Anguttarapan	1	Anguttarapan	s staying among the Anguttarapans at an Anguttarapan town named Apana .
Anguttarapans	1	Anguttarapans	n the Blessed One was staying among the Anguttarapans at an Anguttarapan town named Apana .
Anigha	1	Anigha	ubha, Methula, Atthama, and then Megha, Anigha, Sudatha are paccekabuddhas whose desir
Answer	1	Answer	Then the Blessed One said to him, "Answer now, Aggivessana.
Anxiety	1	Anxiety	is not anxious about unrealities." [23] Anxiety about Unrealities 18 .
Anything	1	Anything	at is the internal earth property?} [3] Anything internal, within oneself, that's hard,
Anāthapiṇḍika	1	Anathapindika	as staying at the Jetavana monastery of Anāthapiṇḍika in Sāvatthi.
Apparently	1	Apparently	udent Assalayana said to the brahmans, "Apparently, sirs, I don't get leave from you (to a
Appointer	1	Appointer	ereign Lord, the Maker, Creator, Chief, Appointer and Ruler, Father of All That Have Been
Arahant	1	Arahant	The mind of the Tathagata, the Arahant, the Rightly Self-awakened One inclines
Arahats	1	Arahats	venerable Bharadvaja became one of the Arahats.
Araka	1	Araka	13 , 14 Araka.
Aren't	1	Aren't	his seat and said to the Blessed One, "Aren't these the five clinging-aggregates, i.e
Arittha.'	1	Arittha.'	saying, 'The Teacher calls you, friend Arittha.'" "As you say, lord," the monk answered
Ariya	1	Ariya	"Ketumbaraga and Matanga, Ariya.
Ariya Disciples	1	Ariya Disciples	eant the Buddha, Paccekabuddhas and the Ariya Disciples of the Buddha.
Ariya Path	1	Ariya Path	es and rituals as practiced outside the Ariya Path.
Ariṭṭha Formerly-of-the-Vulture-Killers	1	Arittha Formerly-of-the-Vulture-Killers	a way that parallels the way they treat Ariṭṭha Formerly-of-the-Vulture-Killers in MN 22 .
Ariṭṭha's	1	Arittha's	h more complex than those touched on in Ariṭṭha's, the Buddha's cross-questioning of the
As AN	1	As AN	mall-hearted, dwelling with suffering." As AN 3.99 points out, such a person suffers
As Ven	1	As Ven	ualities through direct knowledge." [4] As Ven.
Asayha	1	Asayha	Sumangala, Dabbila, Suppatitthita, Asayha, Khemabhirata, and Sorata.
Asia	1	Asia	icornis) growing in south and southeast Asia.
Asian	1	Asian	he word " ratta." Modern translators in Asian vernaculars are unanimous in rendering
Asita	1	Asita	ta, Sarabhanga, Lomahamsa, Uccangamaya, Asita, Anasava.
Ask	1	Ask	e favor of an answer to the question." "Ask, Aggivessana, as you see fit." "How doe
Assapura	1	Assapura	Now, the Angas have a town named Assapura .
Assisted	1	Assisted	rnment-release as its fruit & reward?" "Assisted by five factors, right view has awarene
Assurance	1	Assurance	ntal objects of the Four Noble Truths." Assurance of Attainment "O bhikkhus, should any p
Attainment	1	Attainment	of the Four Noble Truths." Assurance of Attainment "O bhikkhus, should any person maintain
Attavaadupaadaana	1	Attavaadupaadaana	e verb upaadiyetha by "you may accept." Attavaadupaadaana is one of the four types of clinging (s
Attha	1	Attha	the knowledge connected with that joy." Attha (rendered here as "goal") and dhamma ar
Attha-veda	1	Attha-veda	o our present textual passage, saying: "Attha-veda is the enthusiasm arisen in him who rev
Atthama	1	Atthama	"Sumbha, Subha, Methula, Atthama, and then Megha, Anigha, Sudatha are pa
Auspicious One-Night	1	Auspicious One-Night	the grounds that the title it yields — "Auspicious One-Night" — makes no sense.
Avoidance	1	Avoidance	sly, but shall discard them with ease.' Avoidance 14.
Awakened	1	Awakened	worships the Tathāgata (in this way): "Awakened, the Blessed One teaches the Dhamma for
Awakening.'	1	Awakening.'	e the realization: 'That is the path to Awakening.' I thought: 'So why am I afraid of that
Awareness-release	1	Awareness-release	the cessation of perception & feeling." Awareness-release "Friend, how many conditions are there
BPS Wheel No	1	BPS Wheel No	ghtfold Path and its Factors Explained (BPS Wheel No.
BadMouth	1	BadMouth	Then Dummukha [BadMouth] the Licchavi-son — sensing that Saccak
Bahumati	1	Bahumati	, Payaga and Sarassati , And the stream Bahumati — A fool may there forever bathe, Yet w
Baka Brahma's	1	Baka Brahma's	th my awareness the train of thought in Baka Brahma's awareness — as a strong man would exten
Baka-Brahma	1	Baka-Brahma	ccasion an evil viewpoint had arisen to Baka-Brahma : 'This is constant.
Ball	1	Ball	remember this Dhamma discourse as the 'Ball of Honey Discourse.'" That is what the
Bandhuma	1	Bandhuma	Manomaya and Bandhuma, the destroyers of pride; Tadadhimutta,
Bare	1	Bare	nd in the Comy to our present text: (1) Bare bones , fleshless, blood-smeared, are t
Based	1	Based	im of his/her own patterns of thinking: Based on what a person papañcizes, the percep
Bear	1	Bear	om afar and on seeing him said to him: "Bear with it, brahman!
Become	1	Become	limination (samuccheda-vinaya-vasena)." Become active (samudacaranti).
Becoming Saying	1	Becoming Saying	who has arrived at this true Dhamma." Becoming Saying "Good, friend," having delighted in and
Beings	1	Beings	"Beings are owners of kammas, student, heirs of
Benares	1	Benares	a (the Resort of Saints) near Varanasi (Benares).
Bhaddekaratta Sutta	1	Bhaddekaratta Sutta	in Ideal Solitude: An Exposition on the Bhaddekaratta Sutta by the translator.
Bhagavanto	1	Bhagavanto	otes a parallel passage "evam-dhamma ti Bhagavanto ahesum," found in the Mahapadana Sutta
Bhagu	1	Bhagu	asa , Bharadvaja , Vasettha , Kassapa & Bhagu : was there even one of these who said,
Bhante	1	Bhante	addressed the monks saying, "O monks." "Bhante (Venerable Sir)," replied those monks i
Bhavitatta	1	Bhavitatta	ola and Upasabha, Nitha, Tatha, Sutava, Bhavitatta.
Bhañña	1	Bhanna	"Even Vassa & Bhañña — those teachers from Okkala who were p
Bhikkhu Bodhi	1	Bhikkhu Bodhi	ses of the Buddha (Bhikkhu Ñanamoli and Bhikkhu Bodhi, trans.; Boston: Wisdom Publications, 1
Bhikkhu Bodhi's Middle Length	1	Bhikkhu Bodhi's Middle Length	in SN 36.19 and are inserted here (from Bhikkhu Bodhi's Middle Length Discourses of the Buddha ) for the sake
Bhikkhu Khantipalo The	1	Bhikkhu Khantipalo The	Saleyyaka Sutta

Introduction by Bhikkhu Khantipalo The brahmans of this discourse, intelligent
Bhikkhu Khantipalo There	1	Bhikkhu Khantipalo There	Kukkuravatika Sutta

Introduction by Bhikkhu Khantipalo There were some strange people around in the
Bhikkhu Khantipalo This	1	Bhikkhu Khantipalo This	ha Kammavibhanga Sutta

Introduction by Bhikkhu Khantipalo This celebrated sutta shows some of the comp
Bhikkhu Khantipalo You	1	Bhikkhu Khantipalo You	la-kammavibhanga Sutta

Introduction by Bhikkhu Khantipalo You want: long life, health, beauty, power,
Bhikkhu Ñanamoli's	1	Bhikkhu Nanamoli's	Based on Bhikkhu Ñanamoli's version, with a few alterations.
Birth Saying	1	Birth Saying	who has arrived at this true Dhamma." Birth Saying "Good, friend," having delighted in and
Blame	1	Blame	Praise and Blame 38 .
Bliss	1	Bliss	...of the gods that have Gone to Bliss...
Boar's Cave	1	Boar's Cave	gaha on Vulture's Peak Mountain, in the Boar's Cave.
Bodhisatta's	1	Bodhisatta's	Sections 44-56 apparently deal with the Bodhisatta's striving during the six years' period o
